"species","site","no","sample","lma"
"popbal","mp","10","mp_popbal_10",5.12596493194901
"popbal","mp","10_02","mp_popbal_10_02",8.63150852348312
"popbal","mp","11","mp_popbal_11",7.12445802655926
"popbal","mp","12","mp_popbal_12",6.87068587122895
"popbal","mp","13","mp_popbal_13",6.3735818776894
"popbal","mp","14","mp_popbal_14",6.773161828925
"popbal","mp","15","mp_popbal_15",6.32830114092653
"popbal","mp","6","mp_popbal_6",7.19352349777814
"popbal","mp","7","mp_popbal_7",NA
"popbal","mp","8","mp_popbal_8",1.38831039985523
"popbal","mp","9","mp_popbal_9",8.56109261392232
"poptre","mp","10","mp_poptre_10",5.60347487929389
"poptre","mp","11","mp_poptre_11",6.0362002979414
"poptre","mp","12","mp_poptre_12",6.08282321177561
"poptre","mp","13","mp_poptre_13",6.75652036552166
"poptre","mp","5","mp_poptre_5",6.5388295620409
"poptre","mp","6","mp_poptre_6",4.50172698723067
"poptre","mp","7","mp_poptre_7",8.00774834893563
"poptre","mp","7_02","mp_poptre_7_02",4.63331828403813
"poptre","mp","8","mp_poptre_8",6.56322113852436
"poptre","mp","9","mp_poptre_9",5.7389926362805
"rhoalb","mp","1","mp_rhoalb_1",5.04774374611028
"rhoalb","mp","10","mp_rhoalb_10",2.55049578607951
"rhoalb","mp","11","mp_rhoalb_11",4.0932433707253
"rhoalb","mp","12","mp_rhoalb_12",2.51324763229276
"rhoalb","mp","2","mp_rhoalb_2",2.2858707473451
"rhoalb","mp","3","mp_rhoalb_3",3.22912158117541
"rhoalb","mp","4","mp_rhoalb_4",2.49695022771333
"rhoalb","mp","5","mp_rhoalb_5",NA
"rhoalb","mp","8","mp_rhoalb_8",3.70055427216053
"rhoalb","mp","9","mp_rhoalb_9",2.7020601706631
"riblac","mp","1","mp_riblac_1",4.89015286357326
"riblac","mp","10","mp_riblac_10",4.51188242057581
"riblac","mp","11","mp_riblac_11",2.32818644767901
"riblac","mp","2","mp_riblac_2",2.62061601358942
"riblac","mp","3","mp_riblac_3",3.46969756911244
"riblac","mp","4","mp_riblac_4",5.54231882885996
"riblac","mp","5","mp_riblac_5",3.03369403222891
"riblac","mp","6","mp_riblac_6",2.67469069046567
"riblac","mp","7","mp_riblac_7",3.61221418299613
"riblac","mp","8","mp_riblac_8",4.27858574522634
"riblac","mp","9","mp_riblac_9",NA
"rubpar","mp","1","mp_rubpar_1",9.65128024540913
"rubpar","mp","10","mp_rubpar_10",9.78595938977829
"rubpar","mp","2","mp_rubpar_2",2.50131113381736
"rubpar","mp","21","mp_rubpar_21",NA
"rubpar","mp","3","mp_rubpar_3",1.83728246824521
"rubpar","mp","3_02","mp_rubpar_3_02",NA
"rubpar","mp","4","mp_rubpar_4",8.64143588534203
"rubpar","mp","5","mp_rubpar_5",12.7853116426271
"rubpar","mp","6","mp_rubpar_6",2.52312510101722
"rubpar","mp","7","mp_rubpar_7",2.72436226881503
"rubpar","mp","7_2","mp_rubpar_7_2",2.06527553437462
"rubpar","mp","8","mp_rubpar_8",2.47713921691643
